study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX1736260	SRR3466404	408170	human gut metagenome	NIHY1_03	PRJNA294605	NIHY1_03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR346/004/SRR3466404/SRR3466404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR346/004/SRR3466404/SRR3466404_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR346/004/SRR3466404	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161026	SRS1433906	SRX1757398	SRR3498907	408170	human gut metagenome		PRJNA294605	NIHY1_04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR349/007/SRR3498907/SRR3498907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR349/007/SRR3498907/SRR3498907_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR349/007/SRR3498907	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161027	SRS1433907	SRX1757399	SRR3498909	408170	human gut metagenome		PRJNA294605	NIHY1_08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR349/009/SRR3498909/SRR3498909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR349/009/SRR3498909/SRR3498909_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR349/009/SRR3498909	This sample has been submitted by pda|info@madebydna.com on 2016-05-12; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX1757406	SRR3506419	408170	human gut metagenome		PRJNA294605	NIHY1_11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/009/SRR3506419/SRR3506419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/009/SRR3506419/SRR3506419_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR350/009/SRR3506419	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161028	SRS1437768	SRX1762376	SRR3506420	408170	human gut metagenome		PRJNA294605	NIHY1_09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/000/SRR3506420/SRR3506420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/000/SRR3506420/SRR3506420_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR350/000/SRR3506420	This sample has been submitted by pda|info@madebydna.com on 2016-05-16; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX1775699	SRR3546776	408170	human gut metagenome		PRJNA294605	NIHY1_14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/006/SRR3546776/SRR3546776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/006/SRR3546776/SRR3546776_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR354/006/SRR3546776	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161031	SRS1446907	SRX1775701	SRR3546778	408170	human gut metagenome		PRJNA294605	NIHY1_17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/008/SRR3546778/SRR3546778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/008/SRR3546778/SRR3546778_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR354/008/SRR3546778	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX1775702	SRR3546779	408170	human gut metagenome		PRJNA294605	NIHY1_18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/009/SRR3546779/SRR3546779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/009/SRR3546779/SRR3546779_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR354/009/SRR3546779	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161033	SRS1446909	SRX1775703	SRR3546780	408170	human gut metagenome		PRJNA294605	NIHY1_19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/000/SRR3546780/SRR3546780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/000/SRR3546780/SRR3546780_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR354/000/SRR3546780	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX1775704	SRR3546781	408170	human gut metagenome		PRJNA294605	NIHY1_21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/001/SRR3546781/SRR3546781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/001/SRR3546781/SRR3546781_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR354/001/SRR3546781	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
