study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	library_name	run_alias	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJNA376566	SRP102872	SAMN06444713	SRS2092477	SRX2698085	SRR5405607	blank sample	S2_CON_003E1	S2_CON_003E1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405607/SRR5405607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405607/SRR5405607_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405607	S2_CON_003E1	preterm infant gut metagenome S2_CON_003E1
PRJNA376566	SRP102872	SAMN06444712	SRS2092478	SRX2698086	SRR5405608	human metagenome	S2_CON_002E2	S2_CON_002E2.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405608/SRR5405608.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405608	S2_CON_002E2	preterm infant gut metagenome S2_CON_002E2
PRJNA376566	SRP102872	SAMN06444711	SRS2092479	SRX2698087	SRR5405609	human metagenome	S2_CON_002E1	S2_CON_002E1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405609/SRR5405609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405609/SRR5405609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405609	S2_CON_002E1	preterm infant gut metagenome S2_CON_002E1
PRJNA376566	SRP102872	SAMN06444710	SRS2092480	SRX2698088	SRR5405610	human metagenome	S2_CON_001E1	S2_CON_001E1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405610/SRR5405610.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405610	S2_CON_001E1	preterm infant gut metagenome S2_CON_001E1
PRJNA376566	SRP102872	SAMN06444709	SRS2092481	SRX2698089	SRR5405611	human metagenome	S2_CON_000E1	S2_CON.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405611/SRR5405611.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405611	S2_CON_000E1	preterm infant gut metagenome S2_CON_000E1
PRJNA376566	SRP102872	SAMN06444708	SRS2092482	SRX2698090	SRR5405612	human metagenome	S2_018_023G1	S2_018_023G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405612/SRR5405612.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405612	S2_018_023G1	preterm infant gut metagenome S2_018_023G1
PRJNA376566	SRP102872	SAMN06444707	SRS2092483	SRX2698091	SRR5405613	human metagenome	S2_018_022G1	S2_018_022G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405613/SRR5405613.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405613	S2_018_022G1	preterm infant gut metagenome S2_018_022G1
PRJNA376566	SRP102872	SAMN06444706	SRS2092484	SRX2698092	SRR5405614	human metagenome	S2_018_021G1	S2_018_021G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405614/SRR5405614.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405614	S2_018_021G1	preterm infant gut metagenome S2_018_021G1
PRJNA376566	SRP102872	SAMN06444705	SRS2092485	SRX2698093	SRR5405615	human metagenome	S2_018_020G1	S2_018_020G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405615/SRR5405615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405615	S2_018_020G1	preterm infant gut metagenome S2_018_020G1
PRJNA376566	SRP102872	SAMN06444704	SRS2092486	SRX2698094	SRR5405616	human metagenome	S2_018_019G1	S2_018_019G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405616/SRR5405616.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405616	S2_018_019G1	preterm infant gut metagenome S2_018_019G1
