study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_ftp	sample_alias
PRJNA376566	SAMN06444713	SRS2092477	SRX2698085	SRR5405607	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405607/SRR5405607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405607/SRR5405607_2.fastq.gz	S2_CON_003E1
PRJNA376566	SAMN06444712	SRS2092478	SRX2698086	SRR5405608	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405608/SRR5405608.fastq.gz	S2_CON_002E2
PRJNA376566	SAMN06444711	SRS2092479	SRX2698087	SRR5405609	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405609/SRR5405609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405609/SRR5405609_2.fastq.gz	S2_CON_002E1
PRJNA376566	SAMN06444710	SRS2092480	SRX2698088	SRR5405610	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405610/SRR5405610.fastq.gz	S2_CON_001E1
PRJNA376566	SAMN06444709	SRS2092481	SRX2698089	SRR5405611	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405611/SRR5405611.fastq.gz	S2_CON_000E1
PRJNA376566	SAMN06444708	SRS2092482	SRX2698090	SRR5405612	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405612/SRR5405612.fastq.gz	S2_018_023G1
PRJNA376566	SAMN06444707	SRS2092483	SRX2698091	SRR5405613	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405613/SRR5405613.fastq.gz	S2_018_022G1
PRJNA376566	SAMN06444706	SRS2092484	SRX2698092	SRR5405614	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405614/SRR5405614.fastq.gz	S2_018_021G1
PRJNA376566	SAMN06444705	SRS2092485	SRX2698093	SRR5405615	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405615/SRR5405615.fastq.gz	S2_018_020G1
PRJNA376566	SAMN06444704	SRS2092486	SRX2698094	SRR5405616	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405616/SRR5405616.fastq.gz	S2_018_019G1
PRJNA376566	SAMN06444703	SRS2092487	SRX2698095	SRR5405617	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405617/SRR5405617.fastq.gz	S2_018_018G1
PRJNA376566	SAMN06444702	SRS2092488	SRX2698096	SRR5405618	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405618/SRR5405618.fastq.gz	S2_018_017G1
PRJNA376566	SAMN06444701	SRS2092489	SRX2698097	SRR5405619	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405619/SRR5405619.fastq.gz	S2_018_016G1
PRJNA376566	SAMN06444700	SRS2092490	SRX2698098	SRR5405620	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405620/SRR5405620.fastq.gz	S2_018_015G1
PRJNA376566	SAMN06444699	SRS2092491	SRX2698099	SRR5405621	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405621/SRR5405621.fastq.gz	S2_018_014G1
PRJNA376566	SAMN06444698	SRS2092492	SRX2698100	SRR5405622	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405622/SRR5405622.fastq.gz	S2_018_013G1
PRJNA376566	SAMN06444697	SRS2092493	SRX2698101	SRR5405623	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405623/SRR5405623.fastq.gz	S2_018_012G1
PRJNA376566	SAMN06444696	SRS2092494	SRX2698102	SRR5405624	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405624/SRR5405624.fastq.gz	S2_018_011G1
PRJNA376566	SAMN06444695	SRS2092495	SRX2698103	SRR5405625	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405625/SRR5405625.fastq.gz	S2_018_010G1
PRJNA376566	SAMN06444694	SRS2092496	SRX2698104	SRR5405626	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405626/SRR5405626.fastq.gz	S2_018_009G1
PRJNA376566	SAMN06444693	SRS2092497	SRX2698105	SRR5405627	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405627/SRR5405627.fastq.gz	S2_018_008G1
PRJNA376566	SAMN06444692	SRS2092498	SRX2698106	SRR5405628	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405628/SRR5405628.fastq.gz	S2_018_007G1
PRJNA376566	SAMN06444691	SRS2092499	SRX2698107	SRR5405629	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405629/SRR5405629.fastq.gz	S2_018_006G1
PRJNA376566	SAMN06444690	SRS2092500	SRX2698108	SRR5405630	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405630/SRR5405630.fastq.gz	S2_017_028G1
PRJNA376566	SAMN06444689	SRS2092501	SRX2698109	SRR5405631	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405631/SRR5405631.fastq.gz	S2_017_027G1
PRJNA376566	SAMN06444688	SRS2092502	SRX2698110	SRR5405632	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405632/SRR5405632.fastq.gz	S2_017_026G1
PRJNA376566	SAMN06444687	SRS2092503	SRX2698111	SRR5405633	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405633/SRR5405633.fastq.gz	S2_017_025G1
PRJNA376566	SAMN06444686	SRS2092507	SRX2698112	SRR5405634	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405634/SRR5405634.fastq.gz	S2_017_024G1
PRJNA376566	SAMN06444685	SRS2092505	SRX2698113	SRR5405635	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405635/SRR5405635.fastq.gz	S2_017_023G1
PRJNA376566	SAMN06444684	SRS2092504	SRX2698114	SRR5405636	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405636/SRR5405636.fastq.gz	S2_017_022G1
PRJNA376566	SAMN06444683	SRS2092506	SRX2698115	SRR5405637	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405637/SRR5405637.fastq.gz	S2_017_021G1
PRJNA376566	SAMN06444682	SRS2092508	SRX2698116	SRR5405638	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405638/SRR5405638.fastq.gz	S2_017_020G1
PRJNA376566	SAMN06444681	SRS2092510	SRX2698117	SRR5405639	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405639/SRR5405639.fastq.gz	S2_017_019G1
PRJNA376566	SAMN06444680	SRS2092511	SRX2698118	SRR5405640	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405640/SRR5405640.fastq.gz	S2_017_018G1
PRJNA376566	SAMN06444679	SRS2092509	SRX2698119	SRR5405641	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405641/SRR5405641.fastq.gz	S2_017_017G1
PRJNA376566	SAMN06444678	SRS2092512	SRX2698120	SRR5405642	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405642/SRR5405642.fastq.gz	S2_017_015G1
PRJNA376566	SAMN06444677	SRS2092515	SRX2698121	SRR5405643	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405643/SRR5405643.fastq.gz	S2_017_014G1
PRJNA376566	SAMN06444676	SRS2092513	SRX2698122	SRR5405644	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405644/SRR5405644.fastq.gz	S2_017_013G1
PRJNA376566	SAMN06444675	SRS2092514	SRX2698123	SRR5405645	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405645/SRR5405645.fastq.gz	S2_017_012G1
PRJNA376566	SAMN06444674	SRS2092516	SRX2698124	SRR5405646	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405646/SRR5405646.fastq.gz	S2_017_011G1
PRJNA376566	SAMN06444673	SRS2092517	SRX2698125	SRR5405647	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405647/SRR5405647.fastq.gz	S2_017_010G1
PRJNA376566	SAMN06444672	SRS2092518	SRX2698126	SRR5405648	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405648/SRR5405648.fastq.gz	S2_017_009G1
PRJNA376566	SAMN06444671	SRS2092519	SRX2698127	SRR5405649	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405649/SRR5405649.fastq.gz	S2_017_008G1
PRJNA376566	SAMN06444670	SRS2092520	SRX2698128	SRR5405650	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405650/SRR5405650.fastq.gz	S2_017_007G1
