study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_alias	fastq_ftp	submitted_ftp	sample_alias
PRJNA273761	SAMN03295806	SRX858704	SRR1779101	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779101/SRR1779101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779101/SRR1779101_2.fastq.gz		NECEvent2014_1_1
PRJNA273761	SAMN03295807	SRX858705	SRR1779102	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779102/SRR1779102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779102/SRR1779102_2.fastq.gz		NECEvent2014_1_2
PRJNA273761	SAMN03295808	SRX858706	SRR1779103	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779103/SRR1779103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779103/SRR1779103_2.fastq.gz		NECEvent2014_1_3
PRJNA273761	SAMN03295809	SRX858707	SRR1779104	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779104/SRR1779104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779104/SRR1779104_2.fastq.gz		NECEvent2014_1_4
PRJNA273761	SAMN03295810	SRX858708	SRR1779105	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779105/SRR1779105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779105/SRR1779105_2.fastq.gz		NECEvent2014_1_5
PRJNA273761	SAMN03295811	SRX858709	SRR1779106	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779106/SRR1779106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779106/SRR1779106_2.fastq.gz		NECEvent2014_2_1
PRJNA273761	SAMN03295812	SRX858710	SRR1779107	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779107/SRR1779107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779107/SRR1779107_2.fastq.gz		NECEvent2014_2_2
PRJNA273761	SAMN03295813	SRX858711	SRR1779108	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779108/SRR1779108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779108/SRR1779108_2.fastq.gz		NECEvent2014_2_3
PRJNA273761	SAMN03295814	SRX858712	SRR1779109	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779109/SRR1779109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779109/SRR1779109_2.fastq.gz		NECEvent2014_2_4
PRJNA273761	SAMN03295815	SRX858713	SRR1779110	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779110/SRR1779110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779110/SRR1779110_2.fastq.gz		NECEvent2014_2_5
PRJNA273761	SAMN03295816	SRX858714	SRR1779111	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779111/SRR1779111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779111/SRR1779111_2.fastq.gz		NECEvent2014_2_6
PRJNA273761	SAMN03295817	SRX858715	SRR1779112	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779112/SRR1779112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779112/SRR1779112_2.fastq.gz		NECEvent2014_2_7
PRJNA273761	SAMN03295818	SRX858716	SRR1779113	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779113/SRR1779113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779113/SRR1779113_2.fastq.gz		NECEvent2014_2_8
PRJNA273761	SAMN03295819	SRX858717	SRR1779114	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779114/SRR1779114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779114/SRR1779114_2.fastq.gz		NECEvent2014_2_9
PRJNA273761	SAMN03295820	SRX858718	SRR1779115	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779115/SRR1779115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779115/SRR1779115_2.fastq.gz		NECEvent2014_3_1
PRJNA273761	SAMN03295821	SRX858719	SRR1779116	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779116/SRR1779116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779116/SRR1779116_2.fastq.gz		NECEvent2014_3_2
PRJNA273761	SAMN03295822	SRX858720	SRR1779117	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779117/SRR1779117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779117/SRR1779117_2.fastq.gz		NECEvent2014_3_3
