study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501037	SRS2455214	SRX3120355	SRR5962306	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5962306	N4_005_008G1
PRJNA396794	SAMN07501038	SRS2455715	SRX3121031	SRR5963000	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963000	N4_005_017G1
PRJNA396794	SAMN07501039	SRS2455727	SRX3121043	SRR5963132	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963132	N4_005_026G1
PRJNA396794	SAMN07501040	SRS2455728	SRX3121044	SRR5963133	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963133	N4_079_008G1
PRJNA396794	SAMN07501041	SRS2455729	SRX3121045	SRR5963134	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963134	N4_079_014G1
PRJNA396794	SAMN07501042	SRS2455730	SRX3121046	SRR5963135	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963135	N4_079_021G1
PRJNA396794	SAMN07501043	SRS2455731	SRX3121047	SRR5963136	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963136	N4_082_006G1
PRJNA396794	SAMN07501044	SRS2455732	SRX3121048	SRR5963137	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963137	N4_082_007G1
PRJNA396794	SAMN07501045	SRS2455733	SRX3121049	SRR5963138	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963138	N4_082_014G1
PRJNA396794	SAMN07501046	SRS2455734	SRX3121050	SRR5963139	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963139	N4_082_020G1
PRJNA396794	SAMN07501047	SRS2455735	SRX3121051	SRR5963140	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963140	N4_082_024G1
PRJNA396794	SAMN07501048	SRS2455736	SRX3121052	SRR5963141	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963141	N4_083_014G1
PRJNA396794	SAMN07501049	SRS2455737	SRX3121053	SRR5963142	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963142	N4_083_020G1
PRJNA396794	SAMN07501050	SRS2455738	SRX3121054	SRR5963143	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963143	N4_083_024G1
PRJNA396794	SAMN07501051	SRS2455739	SRX3121055	SRR5963144	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963144	N4_087_009G1
PRJNA396794	SAMN07501052	SRS2455740	SRX3121056	SRR5963145	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963145	N4_087_015G1
PRJNA396794	SAMN07501053	SRS2455741	SRX3121057	SRR5963146	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963146	N4_087_026G1
PRJNA396794	SAMN07501054	SRS2455742	SRX3121058	SRR5963147	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963147	N4_089_008G1
PRJNA396794	SAMN07501055	SRS2455743	SRX3121059	SRR5963148	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963148	N4_089_008G2
PRJNA396794	SAMN07501056	SRS2455744	SRX3121060	SRR5963149	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963149	N4_089_018G1
PRJNA396794	SAMN07501057	SRS2455746	SRX3121061	SRR5963150	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963150	N4_089_018G2
PRJNA396794	SAMN07501058	SRS2455745	SRX3121062	SRR5963151	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963151	N4_089_022G1
PRJNA396794	SAMN07501059	SRS2455747	SRX3121063	SRR5963152	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963152	N4_089_027G1
PRJNA396794	SAMN07501060	SRS2455748	SRX3121064	SRR5963153	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963153	N4_094_008G1
PRJNA396794	SAMN07501061	SRS2455749	SRX3121065	SRR5963154	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963154	N4_094_010G1
