public_code	infant	DOL	campaign	reads	read_bases	read_length	assembly_length	assembly_completeness
N1_003_000G1	N1_003	0	NIH1	491146892	48351669246	98.44645265	94457623	0.952214705
N1_003_011G1	N1_003	11	NIH1	9631100	951402872	98.78444539	5435880	0.971504086
N1_003_013G1	N1_003	13	NIH1	33913768	3375513770	99.53225398	7958154	0.993185599
N1_003_015G1	N1_003	15	NIH1	32711328	3228975178	98.71122255	11415932	0.968977903
N1_003_017G1	N1_003	17	NIH1	38878730	3853106652	99.1057746	16170787	0.977794748
N1_003_018G1	N1_003	18	NIH1	26063884	2547640064	97.7459869	12711914	0.982860114
N1_003_019G1	N1_003	19	NIH1	43761606	4313337074	98.56441452	15407499	0.966665689
N1_003_021G1	N1_003	21	NIH1	20820806	2053899722	98.64650398	18870615	0.885863977
N1_003_022G1	N1_003	22	NIH1	24982276	2475995768	99.11009581	18929531	0.895531176
N1_003_023G1	N1_003	23	NIH1	18707180	1853765452	99.09379458	18714830	0.895267486
N1_003_025G1	N1_003	25	NIH1	34502330	3398298134	98.49474322	29536350	0.970492544
N1_003_026G1	N1_003	26	NIH1	27915554	2737926136	98.07887517	30227101	0.982755886
N1_003_027G1	N1_003	27	NIH1	25558550	2504708468	97.99884845	25396291	0.984021394
N1_003_028G1	N1_003	28	NIH1	29258122	2879536920	98.41837832	34844785	0.987636322
N1_003_039G1	N1_003	39	NIH1	25452924	2455578714	96.47530924	21177632	0.967701275
N1_003_044G1	N1_003	44	NIH1	21758654	2147485868	98.69571289	28729823	0.977927449
N1_003_052G1	N1_003	52	NIH1	28691474	2828928776	98.59823779	34447942	0.983762005
N1_003_078G1	N1_003	78	NIH1	26001874	2541816252	97.75511765	17339622	0.987736653
N1_003_086G1	N1_003	86	NIH1	22536732	2203753426	97.78495951	29742062	0.979497826
N1_004_000G1	N1_004	0	NIH1	282529968	27901940042	98.75745302	57208972	0.977207582
N1_004_008G1	N1_004	8	NIH1	12958880	1279197648	98.71205289	1981075	0.736544979
N1_004_009G1	N1_004	9	NIH1	19448712	1911291186	98.27340679	13269775	0.991032311
N1_004_010G1	N1_004	10	NIH1	23748786	2338633618	98.47381748	14563914	0.992988568
N1_004_012G1	N1_004	12	NIH1	22124294	2190673940	99.016671	18325834	0.994276473
N1_004_013G1	N1_004	13	NIH1	41884536	4114404896	98.23207534	16211243	0.994209223
N1_004_014G1	N1_004	14	NIH1	22111624	2199903350	99.49080854	14651298	0.993500704
N1_004_015G1	N1_004	15	NIH1	27038410	2671048972	98.78720576	16443085	0.989422344
N1_004_016G1	N1_004	16	NIH1	36709806	3630475316	98.89660861	12902242	0.988275748
N1_004_018G1	N1_004	18	NIH1	24869910	2450035428	98.5140448	17370439	0.982774807
N1_004_021G1	N1_004	21	NIH1	28204890	2800921730	99.30624548	31062325	0.985328608
N1_004_026G1	N1_004	26	NIH1	23430120	2315353958	98.81955184	29245232	0.96954911
N1_008_000G1	N1_008	0	NIH1	154320702	15163385750	98.25892154	38709863	0.985652385
N1_008_007G1	N1_008	7	NIH1	30869524	3004011736	97.31318617	12139864	0.986559948
N1_008_008G1	N1_008	8	NIH1	28765982	2828599550	98.3314093	10293396	0.994281509
N1_008_009G1	N1_008	9	NIH1	26226056	2585531210	98.58635282	5100722	0.987767661
N1_008_010G1	N1_008	10	NIH1	5260816	517634116	98.39426355	10574487	0.932378931
N1_008_028G1	N1_008	28	NIH1	32558250	3206371300	98.48107008	18114054	0.991760122
N1_008_031G1	N1_008	31	NIH1	30640074	3021237838	98.60412994	12501163	0.987193112
N1_009_000G1	N1_009	0	NIH1	767799050	73413644140	95.61570067	89282046	0.968716343
N1_009_006G1	N1_009	6	NIH1	82047114	8030057826	97.87130143	16801136	0.98413698
N1_009_007G1	N1_009	7	NIH1	35776210	3555127568	99.37127404	14507174	0.983132925
N1_009_008G1	N1_009	8	NIH1	33656430	3284702028	97.59508147	24199173	0.979077074
N1_009_009G1	N1_009	9	NIH1	82538854	7685301522	93.11131848	20295684	0.963997283
N1_009_010G1	N1_009	10	NIH1	29276566	2869225708	98.00417535	18015257	0.984535208
N1_009_011G1	N1_009	11	NIH1	34112992	3364911384	98.64017158	25579193	0.988935477
N1_009_013G1	N1_009	13	NIH1	31486578	3094017876	98.26465982	25718070	0.980675607
N1_009_014G1	N1_009	14	NIH1	20519812	2016390360	98.26553772	24093972	0.976446568
N1_009_015G1	N1_009	15	NIH1	86804068	7992980572	92.08071414	31972344	0.976135358
N1_009_016G1	N1_009	16	NIH1	23560748	2326335760	98.73777182	33057868	0.985714673
N1_009_017G1	N1_009	17	NIH1	27509458	2667239782	96.9571913	15476161	0.98247301
N1_009_019G1	N1_009	19	NIH1	36243766	3434315380	94.75603004	20319830	0.972649559
N1_009_020G1	N1_009	20	NIH1	68407838	6464024692	94.49245702	23014790	0.973560471
N1_009_021G1	N1_009	21	NIH1	71299036	6604476896	92.63066188	26060364	0.967917224
N1_009_024G1	N1_009	24	NIH1	30465182	2781942644	91.31547758	28331060	0.97303617
N1_009_038G1	N1_009	38	NIH1	42156018	4067826476	96.49456161	34908477	0.980004729
N1_009_045G1	N1_009	45	NIH1	31938380	3174767666	99.40290228	37203402	0.976784045
N1_011_000G1	N1_011	0	NIH1	448318658	43967007188	98.07088419	38424475	0.990326789
N1_011_011G1	N1_011	11	NIH1	31657792	3088596354	97.5619637	13911832	0.97748349
N1_011_013G1	N1_011	13	NIH1	33827644	3347016464	98.94323306	10423539	0.994847084
N1_011_014G1	N1_011	14	NIH1	28600220	2818882634	98.56157169	11877983	0.9913015
N1_011_015G1	N1_011	15	NIH1	27996310	2738191924	97.80545808	7754629	0.992652032
N1_011_020G1	N1_011	20	NIH1	26388696	2571842128	97.45999302	5495837	0.997034488
N1_011_021G1	N1_011	21	NIH1	22177296	2155375506	97.18838158	5499608	0.99242446
N1_011_023G1	N1_011	23	NIH1	25452988	2506987688	98.49482851	10032432	0.994606763
N1_011_025G1	N1_011	25	NIH1	29589810	2900690454	98.03004663	8464151	0.991753614
N1_011_027G1	N1_011	27	NIH1	23906974	2349017798	98.25659232	8486972	0.987972254
N1_011_028G1	N1_011	28	NIH1	36452228	3569300710	97.91721675	8426310	0.994810496
N1_011_033G1	N1_011	33	NIH1	32258632	3169210332	98.24379199	10573936	0.98908844
N1_011_037G1	N1_011	37	NIH1	11558876	1129167388	97.68833821	5647864	0.993541846
N1_011_046G1	N1_011	46	NIH1	23105296	2253824916	97.54581443	5497537	0.998227246
N1_011_051G1	N1_011	51	NIH1	23706892	2344059932	98.87672884	8367088	0.995420235
N1_011_062G1	N1_011	62	NIH1	26754416	2628105640	98.23072348	8292712	0.997315172
N1_011_069G1	N1_011	69	NIH1	18359702	1802155598	98.15821618	5552112	0.987932974
N1_011_070G1	N1_011	70	NIH1	25960092	2538679890	97.79163687	5523724	0.991585816
N1_011_071G1	N1_011	71	NIH1	564794	55901832	98.9773829	3422223	0.498431286
N1_014_000G1	N1_014	0	NIH1	329237490	32621781424	99.08282749	58930387	0.962049377
N1_014_006G1	N1_014	6	NIH1	27463232	2708950346	98.63916767	21869232	0.964633077
N1_014_007G1	N1_014	7	NIH1	32235508	3207845016	99.51278001	12960113	0.986707981
