study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB6456	SAMEA2579905	ERX490923	ERR525688	336	21731785	4336062840
PRJEB6456	SAMEA2579906	ERX490924	ERR525689	465	19292185	3841725120
PRJEB6456	SAMEA2579907	ERX490925	ERR525690	464	16095224	3204346680
PRJEB6456	SAMEA2579908	ERX490926	ERR525691	477	20232435	4032528800
PRJEB6456	SAMEA2579909	ERX490927	ERR525692	462	19580735	3901845370
PRJEB6456	SAMEA2579910	ERX490928	ERR525693	339	21468739	4283388200
PRJEB6456	SAMEA2579911	ERX490929	ERR525694	326	23863523	4759607970
PRJEB6456	SAMEA2579912	ERX490930	ERR525695	319	17562474	3494274280
PRJEB6456	SAMEA2579913	ERX490931	ERR525696	478	16179567	3214923320
PRJEB6456	SAMEA2579914	ERX490932	ERR525697	477	22994157	4579667610
PRJEB6456	SAMEA2579915	ERX490933	ERR525698	339	16646197	3323261040
PRJEB6456	SAMEA2579916	ERX490934	ERR525699	337	23003847	4588492210
PRJEB6456	SAMEA2579917	ERX490935	ERR525700	327	28056007	5600036640
PRJEB6456	SAMEA2579918	ERX490936	ERR525701	323	17241604	3441303170
PRJEB6456	SAMEA2579919	ERX490937	ERR525702	327	16915229	3374780540
PRJEB6456	SAMEA2579920	ERX490938	ERR525703	327	22415928	4471533220
PRJEB6456	SAMEA2579921	ERX490939	ERR525704	330	19651981	3919169630
PRJEB6456	SAMEA2579922	ERX490940	ERR525705	338	17469478	3481711740
PRJEB6456	SAMEA2579923	ERX490941	ERR525706	324	22905105	4567599630
PRJEB6456	SAMEA2579924	ERX490942	ERR525707	320	14033431	2800841910
PRJEB6456	SAMEA2579925	ERX490943	ERR525708	328	16620752	3315549640
PRJEB6456	SAMEA2579926	ERX490944	ERR525709	332	29734394	5933697350
PRJEB6456	SAMEA2579927	ERX490945	ERR525710	329	23103855	4603425530
PRJEB6456	SAMEA2579928	ERX490946	ERR525711	332	22223116	4425925190
PRJEB6456	SAMEA2579929	ERX490947	ERR525712	330	27364296	5458178440
PRJEB6456	SAMEA2579930	ERX490948	ERR525713	323	20519744	4092768770
PRJEB6456	SAMEA2579931	ERX490949	ERR525714	322	18547219	3695179830
PRJEB6456	SAMEA2579932	ERX490950	ERR525715	336	21566595	4298672550
PRJEB6456	SAMEA2579933	ERX490951	ERR525716	331	24578005	4903753150
PRJEB6456	SAMEA2579934	ERX490952	ERR525717	331	23429018	4676004350
PRJEB6456	SAMEA2579935	ERX490953	ERR525718	325	20321974	4048295820
PRJEB6456	SAMEA2579936	ERX490954	ERR525719	329	19138873	3819951970
PRJEB6456	SAMEA2579937	ERX490955	ERR525720	334	18978396	3784076250
PRJEB6456	SAMEA2579938	ERX490956	ERR525721	333	24908343	4962578870
PRJEB6456	SAMEA2579939	ERX490957	ERR525722	316	22709268	4534931890
PRJEB6456	SAMEA2579940	ERX490958	ERR525723	328	23382422	4666297970
PRJEB6456	SAMEA2579941	ERX490959	ERR525724	332	23488209	4688717910
PRJEB6456	SAMEA2579942	ERX490960	ERR525725	335	18453599	3680314660
PRJEB6456	SAMEA2579943	ERX490961	ERR525726	333	22607869	4513400170
PRJEB6456	SAMEA2579944	ERX490962	ERR525727	338	24534033	4896357270
PRJEB6456	SAMEA2579945	ERX490963	ERR525728	347	16383685	3265899040
PRJEB6456	SAMEA2579946	ERX490964	ERR525729	336	21074672	4204923010
PRJEB6456	SAMEA2579947	ERX490965	ERR525730	344	20055538	4002618720
PRJEB6456	SAMEA2579948	ERX490966	ERR525731	332	20430552	4078575840
PRJEB6456	SAMEA2579949	ERX490967	ERR525732	338	18664926	3724807000
PRJEB6456	SAMEA2579950	ERX490968	ERR525733	334	19102325	3808848740
PRJEB6456	SAMEA2579951	ERX490969	ERR525734	322	23529853	4696338390
PRJEB6456	SAMEA2579952	ERX490970	ERR525735	324	24159415	4820699080
PRJEB6456	SAMEA2579953	ERX490971	ERR525736	328	20574043	4105067680
PRJEB6456	SAMEA2579954	ERX490972	ERR525737	330	19593498	3906055940
PRJEB6456	SAMEA2579955	ERX490973	ERR525738	332	21012129	4192529340
PRJEB6456	SAMEA2579956	ERX490974	ERR525739	332	21563674	4303741030
PRJEB6456	SAMEA2579957	ERX490975	ERR525740	336	16144291	3222314080
PRJEB6456	SAMEA2579958	ERX490976	ERR525741	319	19350555	3858880280
PRJEB6456	SAMEA2579959	ERX490977	ERR525742	335	19857571	3964901180
PRJEB6456	SAMEA2579960	ERX490978	ERR525743	475	17081376	3407693230
PRJEB6456	SAMEA2579961	ERX490979	ERR525744	312	17916696	3563509000
PRJEB6456	SAMEA2579962	ERX490980	ERR525745	330	17796408	3549865520
PRJEB6456	SAMEA2579963	ERX490981	ERR525746	343	20894432	4167566480
PRJEB6456	SAMEA2579964	ERX490982	ERR525747	324	19711262	3928848640
PRJEB6456	SAMEA2579965	ERX490983	ERR525748	317	15386376	3054696520
PRJEB6456	SAMEA2579966	ERX490984	ERR525749	324	20297425	4043633290
PRJEB6456	SAMEA2579967	ERX490985	ERR525750	327	18670465	3714107190
PRJEB6456	SAMEA2579968	ERX490986	ERR525751	319	21331993	4253537530
PRJEB6456	SAMEA2579969	ERX490987	ERR525752	329	16970052	3381286220
PRJEB6456	SAMEA2579970	ERX490988	ERR525753	319	19598932	3905138540
PRJEB6456	SAMEA2579971	ERX490989	ERR525754	328	23179092	4621611490
PRJEB6456	SAMEA2579972	ERX490990	ERR525755	323	16778189	3335396790
PRJEB6456	SAMEA2579973	ERX490991	ERR525756	332	20701104	4128084620
PRJEB6456	SAMEA2579974	ERX490992	ERR525757	323	24185369	4817454730
PRJEB6456	SAMEA2579975	ERX490993	ERR525758	333	20367306	4062651190
PRJEB6456	SAMEA2579976	ERX490994	ERR525759	331	21850086	4352898980
PRJEB6456	SAMEA2579977	ERX490995	ERR525760	330	14393595	2868556570
PRJEB6456	SAMEA2579978	ERX490996	ERR525761	335	15617323	3102891450
PRJEB6456	SAMEA2579979	ERX490997	ERR525762	330	16713712	3330091180
PRJEB6456	SAMEA2579980	ERX490998	ERR525763	333	18214184	3628345500
PRJEB6456	SAMEA2579981	ERX490999	ERR525764	337	14079336	2808462230
PRJEB6456	SAMEA2579982	ERX491000	ERR525765	333	13324851	2646099580
PRJEB6456	SAMEA2579983	ERX491001	ERR525766	340	19589198	3910188840
PRJEB6456	SAMEA2579984	ERX491002	ERR525767	334	13423148	2676889640
PRJEB6456	SAMEA2579985	ERX491003	ERR525768	336	22468621	4480924870
PRJEB6456	SAMEA2579986	ERX491004	ERR525769	343	17839607	3553235340
PRJEB6456	SAMEA2579987	ERX491005	ERR525770	329	21061697	4193758310
PRJEB6456	SAMEA2579988	ERX491006	ERR525771	333	19998325	3985864090
PRJEB6456	SAMEA2579989	ERX491007	ERR525772	341	25625867	5112179840
PRJEB6456	SAMEA2579990	ERX491008	ERR525773	337	16135313	3202580590
PRJEB6456	SAMEA2579991	ERX491009	ERR525774	345	17934282	3569104100
PRJEB6456	SAMEA2579992	ERX491010	ERR525775	338	24004304	4782894630
PRJEB6456	SAMEA2579993	ERX491011	ERR525776	346	9621683	1918848440
PRJEB6456	SAMEA2579994	ERX491012	ERR525777	319	13406907	2665426950
PRJEB6456	SAMEA2579995	ERX491013	ERR525778	336	16069845	3205360030
PRJEB6456	SAMEA2579996	ERX491014	ERR525779	332	14323279	2851671170
PRJEB6456	SAMEA2579997	ERX491015	ERR525780	332	10730252	2137777800
