study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA352475	SAMN06350236	SRX2577861	SRR5273878		2752232	536727674
PRJNA352475	SAMN06350235	SRX2577862	SRR5273879		1261020	236531149
PRJNA352475	SAMN06350234	SRX2577863	SRR5273880		1680160	329280329
PRJNA352475	SAMN06350233	SRX2577864	SRR5273881		257498	46601907
PRJNA352475	SAMN06350232	SRX2577865	SRR5273882		28688241	5607203397
PRJNA352475	SAMN06350231	SRX2577866	SRR5273883		25969832	4999937185
PRJNA352475	SAMN06350230	SRX2577867	SRR5273884		22433272	4387914526
PRJNA352475	SAMN06350229	SRX2577868	SRR5273885		32769864	6216677113
PRJNA352475	SAMN06350228	SRX2577869	SRR5273886		4857083	951190839
PRJNA352475	SAMN06350227	SRX2577870	SRR5273887		6320038	1196723289
PRJNA352475	SAMN06350226	SRX2577871	SRR5273888		26091505	5117241457
PRJNA352475	SAMN06350225	SRX2577872	SRR5273889		26471585	5209626960
PRJNA352475	SAMN06350224	SRX2577873	SRR5273890		528055	98252022
PRJNA352475	SAMN06350223	SRX2577874	SRR5273891		12520622	2464012990
PRJNA352475	SAMN06350222	SRX2577875	SRR5273892		11022460	2163816440
PRJNA352475	SAMN06350221	SRX2577876	SRR5273893		1055358	204593967
PRJNA352475	SAMN06350220	SRX2577877	SRR5273894		6059807	1184858508
PRJNA352475	SAMN06350219	SRX2577878	SRR5273895		2502706	490096183
PRJNA352475	SAMN06350218	SRX2577879	SRR5273896		7318389	1446911652
PRJNA352475	SAMN06350217	SRX2577880	SRR5273897		125746	20398346
PRJNA352475	SAMN06350216	SRX2577881	SRR5273898		119634	19423912
PRJNA352475	SAMN06350215	SRX2577882	SRR5273899		15730658	3086600417
PRJNA352475	SAMN06350214	SRX2577883	SRR5273900		15181061	2966565938
PRJNA352475	SAMN06350213	SRX2577884	SRR5273901		705945	138558269
PRJNA352475	SAMN06350212	SRX2577885	SRR5273902		6597607	1273931314
PRJNA352475	SAMN06350211	SRX2577886	SRR5273903		15709155	3100469892
PRJNA352475	SAMN06350210	SRX2577887	SRR5273904		8842709	1653959307
PRJNA352475	SAMN06350209	SRX2577888	SRR5273905		7712140	1472451420
PRJNA352475	SAMN06350208	SRX2577889	SRR5273906		4153737	812493063
PRJNA352475	SAMN06350207	SRX2577890	SRR5273907		823892	157970068
PRJNA352475	SAMN06350206	SRX2577891	SRR5273908		236041	41361888
PRJNA352475	SAMN06350205	SRX2577892	SRR5273909		173946	28085464
PRJNA352475	SAMN06350204	SRX2577893	SRR5273910		468262	87807732
PRJNA352475	SAMN06350203	SRX2577894	SRR5273911		4015882	786721288
PRJNA352475	SAMN06350202	SRX2577895	SRR5273912		27915885	5454891869
PRJNA352475	SAMN06350201	SRX2577896	SRR5273913		13364997	2560554331
PRJNA352475	SAMN06350200	SRX2577897	SRR5273914		17962786	3451774841
PRJNA352475	SAMN06350199	SRX2577898	SRR5273915		26910970	5267499307
PRJNA352475	SAMN06350198	SRX2577899	SRR5273916		20572787	4044241685
PRJNA352475	SAMN06350197	SRX2577900	SRR5273917		15529580	3061012751
PRJNA352475	SAMN06350196	SRX2577901	SRR5273918		6696197	1309097783
PRJNA352475	SAMN06350195	SRX2577902	SRR5273919		6804577	1330596701
PRJNA352475	SAMN06350194	SRX2577903	SRR5273920		10894859	2113178589
PRJNA352475	SAMN06350193	SRX2577904	SRR5273921		5245569	1019360593
PRJNA352475	SAMN06350192	SRX2577905	SRR5273922		7426234	1460295214
PRJNA352475	SAMN06350191	SRX2577906	SRR5273923		1785694	345257790
PRJNA352475	SAMN06350190	SRX2577907	SRR5273924		123933	19638124
PRJNA352475	SAMN06350189	SRX2577908	SRR5273925		1213008	236517992
PRJNA352475	SAMN06350188	SRX2577909	SRR5273926		77860	13083469
PRJNA352475	SAMN06350187	SRX2577910	SRR5273927		3452072	662047416
PRJNA352475	SAMN06350186	SRX2577911	SRR5273928		21895970	4305856347
PRJNA352475	SAMN06350185	SRX2577912	SRR5273929		19901769	3873905244
PRJNA352475	SAMN06350184	SRX2577913	SRR5273930		16338190	3180644176
PRJNA352475	SAMN06350183	SRX2577914	SRR5273931		1808713	340240702
PRJNA352475	SAMN06350182	SRX2577915	SRR5273932		713964	134818420
PRJNA352475	SAMN06350181	SRX2577916	SRR5273933		7792192	1532124509
PRJNA352475	SAMN06350180	SRX2577917	SRR5273934		9887270	1947387996
PRJNA352475	SAMN06350179	SRX2577918	SRR5273935		79505	12783900
PRJNA352475	SAMN06350178	SRX2577919	SRR5273936		1767804	300256699
PRJNA352475	SAMN06350177	SRX2577920	SRR5273937		423279	73505687
PRJNA352475	SAMN06350176	SRX2577921	SRR5273938		18113966	3126001738
PRJNA352475	SAMN06350175	SRX2577922	SRR5273939		27918203	5067431378
PRJNA352475	SAMN06350174	SRX2577923	SRR5273940		1066925	186427978
PRJNA352475	SAMN06350173	SRX2577924	SRR5273941		33957261	5935988384
PRJNA352475	SAMN06350172	SRX2577925	SRR5273942		6142067	1059436847
PRJNA352475	SAMN06350171	SRX2577926	SRR5273943		20179060	3984896342
PRJNA352475	SAMN06350170	SRX2577927	SRR5273944		26890219	5309530534
PRJNA352475	SAMN06350169	SRX2577928	SRR5273945		55806	8870519
PRJNA352475	SAMN06350168	SRX2577929	SRR5273946		484961	84954852
PRJNA352475	SAMN06350167	SRX2577930	SRR5273947		269751	48373106
PRJNA352475	SAMN06350166	SRX2577931	SRR5273948		5335824	870044824
PRJNA352475	SAMN06350165	SRX2577932	SRR5273949		16981530	3116362377
PRJNA352475	SAMN06350164	SRX2577933	SRR5273950		4327476	777394281
PRJNA352475	SAMN06350163	SRX2577934	SRR5273951		3978707	694381858
PRJNA352475	SAMN06350162	SRX2577935	SRR5273952		1413683	237815199
PRJNA352475	SAMN06350161	SRX2577936	SRR5273953		1106067	202569678
PRJNA352475	SAMN06350160	SRX2577937	SRR5273954		18607376	3360009554
PRJNA352475	SAMN06350159	SRX2577938	SRR5273955		9534787	1791117440
PRJNA352475	SAMN06350158	SRX2577939	SRR5273956		13693933	2697212419
PRJNA352475	SAMN06350157	SRX2577940	SRR5273957		23732278	4704927290
PRJNA352475	SAMN06350156	SRX2577941	SRR5273958		72850	11759451
PRJNA352475	SAMN06350155	SRX2577942	SRR5273959		49836349	9022889318
PRJNA352475	SAMN06350154	SRX2577943	SRR5273960		563257	99962044
PRJNA352475	SAMN06350153	SRX2577944	SRR5273961		4451324	735940030
PRJNA352475	SAMN06350152	SRX2577945	SRR5273962		1201871	202956673
PRJNA352475	SAMN06350151	SRX2577946	SRR5273963		23096215	4539450289
PRJNA352475	SAMN06350150	SRX2577947	SRR5273964		14827538	2896302033
PRJNA352475	SAMN06350149	SRX2577948	SRR5273965		10011743	1983204021
PRJNA352475	SAMN06350148	SRX2577949	SRR5273966		11344163	2243245092
PRJNA352475	SAMN06350147	SRX2577950	SRR5273967		87254708	17215638924
PRJNA352475	SAMN06350146	SRX2577951	SRR5273968		1390001	255010296
