study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA422434	SAMN00993239	SRX858068	SRR1778450	350	23038170	4146870600
PRJNA422434	SAMN00993240	SRX858069	SRR1778451	350	29266886	5853377200
PRJNA422434	SAMN00993241	SRX858070	SRR1778452	350	32758437	6551687400
PRJNA422434	SAMN00993242	SRX858071	SRR1778453	350	28064538	5612907600
PRJNA422434	SAMN00993243	SRX858072	SRR1778454	350	39958225	7192480500
PRJNA422434	SAMN00993244	SRX858073	SRR1778455	350	49892410	8980633800
PRJNA422434	SAMN00993245	SRX858074	SRR1778456	350	38847110	6992479800
PRJNA422434	SAMN00715131	SRX095662	SRR341581	352	16615077	2459031396
PRJNA422434	SAMN00715132	SRX095663	SRR341582	346	10223604	1513093392
PRJNA422434	SAMN00715133	SRX095664	SRR341583	348	13482044	1995342512
PRJNA422434	SAMN00715134	SRX095665	SRR341584	357	14637777	2166390996
PRJNA422434	SAMN00715135	SRX095666	SRR341585	345	16306900	2413421200
PRJNA422434	SAMN00715136	SRX095667	SRR341586	344	14167798	2096834104
PRJNA422434	SAMN00715137	SRX095668	SRR341587	328	15964233	2362706484
PRJNA422434	SAMN00715138	SRX095669	SRR341588	339	14728641	2179838868
PRJNA422434	SAMN00715139	SRX095670	SRR341589	348	13844851	2049037948
PRJNA422434	SAMN00715140	SRX095671	SRR341590	345	14616219	2163200412
PRJNA422434	SAMN00715141	SRX095672	SRR341591	344	15405989	2280086372
PRJNA422434	SAMN00715142	SRX095673	SRR341592	349	14658594	2169471912
PRJNA422434	SAMN00715143	SRX095674	SRR341593	346	14065151	2081642348
PRJNA422434	SAMN00715144	SRX095675	SRR341594	358	15124762	2238464776
PRJNA422434	SAMN00715145	SRX095676	SRR341595	335	11708018	1732786664
PRJNA422434	SAMN00715146	SRX095677	SRR341596	349	16431499	2431861852
PRJNA422434	SAMN00715147	SRX095678	SRR341597	351	16867969	2496459412
PRJNA422434	SAMN00715148	SRX095679	SRR341598	354	14780936	2187578528
PRJNA422434	SAMN00715149	SRX095680	SRR341599	346	12830222	1898872856
PRJNA422434	SAMN00715150	SRX095681	SRR341600	351	17810138	2635900424
PRJNA422434	SAMN00715151	SRX095682	SRR341601	357	13694335	2026761580
PRJNA422434	SAMN00715152	SRX095683	SRR341602	343	12645541	1871540068
PRJNA422434	SAMN00715153	SRX095684	SRR341603	349	12482203	1847366044
PRJNA422434	SAMN00715154	SRX095685	SRR341604	355	15098502	2234578296
PRJNA422434	SAMN00715155	SRX095686	SRR341605	354	14648117	2167921316
PRJNA422434	SAMN00715156	SRX095687	SRR341606	339	14072214	2082687672
PRJNA422434	SAMN00715157	SRX095688	SRR341607	337	16370568	2422844064
PRJNA422434	SAMN00715158	SRX095689	SRR341608	343	14327443	2120461564
PRJNA422434	SAMN00715159	SRX095690	SRR341609	346	12882811	1906656028
PRJNA422434	SAMN00715160	SRX095691	SRR341610	354	16693581	2470649988
PRJNA422434	SAMN00715161	SRX095692	SRR341611	358	9998977	1479848596
PRJNA422434	SAMN00715162	SRX095693	SRR341612	359	17376814	2571768472
PRJNA422434	SAMN00715163	SRX095694	SRR341613	350	15545122	2300678056
PRJNA422434	SAMN00715164	SRX095695	SRR341614	338	14728334	2179793432
PRJNA422434	SAMN00715165	SRX095696	SRR341615	339	14030218	2076472264
PRJNA422434	SAMN00715166	SRX095697	SRR341616	352	14780645	2187535460
PRJNA422434	SAMN00715167	SRX095698	SRR341617	347	12810108	1895895984
PRJNA422434	SAMN00715168	SRX095699	SRR341618	351	16237015	2403078220
PRJNA422434	SAMN00715169	SRX095700	SRR341619	346	13216943	1956107564
PRJNA422434	SAMN00715170	SRX095701	SRR341620	345	15798707	2338208636
PRJNA422434	SAMN00715171	SRX095702	SRR341621	334	13985762	2069892776
PRJNA422434	SAMN00715172	SRX095703	SRR341622	357	14624429	2164415492
PRJNA422434	SAMN00715173	SRX095704	SRR341623	341	14926107	2209063836
PRJNA422434	SAMN00715174	SRX095705	SRR341624	336	15805636	2339234128
PRJNA422434	SAMN00715175	SRX095706	SRR341625	340	12691777	1878382996
PRJNA422434	SAMN00715176	SRX095707	SRR341626	341	13295066	1967669768
PRJNA422434	SAMN00715177	SRX095708	SRR341627	350	14109925	2088268900
PRJNA422434	SAMN00715178	SRX095709	SRR341628	364	14944402	2211771496
PRJNA422434	SAMN00715179	SRX095710	SRR341629	350	14682375	2172991500
PRJNA422434	SAMN00715180	SRX095711	SRR341630	338	14180143	2098661164
PRJNA422434	SAMN00715181	SRX095712	SRR341631	368	14602534	2190380100
PRJNA422434	SAMN00715182	SRX095713	SRR341632	358	30502951	4575442650
PRJNA422434	SAMN00715183	SRX095714	SRR341633	359	30581764	4587264600
PRJNA422434	SAMN00715184	SRX095715	SRR341634	349	15758241	2332219668
PRJNA422434	SAMN00715185	SRX095716	SRR341635	336	12270998	1816107704
PRJNA422434	SAMN00715186	SRX095717	SRR341636	349	15791284	2337110032
PRJNA422434	SAMN00715187	SRX095718	SRR341637	355	12213728	1807631744
PRJNA422434	SAMN00715188	SRX095719	SRR341638	344	12981728	1921295744
PRJNA422434	SAMN00715189	SRX095720	SRR341639	345	16620780	2459875440
PRJNA422434	SAMN00715190	SRX095721	SRR341640	340	16394422	2426374456
PRJNA422434	SAMN00715191	SRX095722	SRR341641	341	13510124	1999498352
PRJNA422434	SAMN00715192	SRX095723	SRR341642	350	14745963	2182402524
PRJNA422434	SAMN00715193	SRX095724	SRR341643	355	20111772	3016765800
PRJNA422434	SAMN00715194	SRX095725	SRR341644	363	15893868	2352292464
PRJNA422434	SAMN00715195	SRX095726	SRR341645	339	15150248	2242236704
PRJNA422434	SAMN00715196	SRX095727	SRR341646	356	19526380	2928957000
PRJNA422434	SAMN00715197	SRX095728	SRR341647	340	14641196	2166897008
PRJNA422434	SAMN00715198	SRX095729	SRR341648	344	14751555	2183230140
PRJNA422434	SAMN00715199	SRX095730	SRR341649	359	21941568	3291235200
PRJNA422434	SAMN00715200	SRX095731	SRR341650	356	20787970	3118195500
PRJNA422434	SAMN00715201	SRX095732	SRR341651	330	14349761	2123764628
PRJNA422434	SAMN00715202	SRX095733	SRR341652	358	17550018	2597402664
PRJNA422434	SAMN00715203	SRX095734	SRR341653	365	17147691	2537858268
PRJNA422434	SAMN00715204	SRX095735	SRR341654	339	11757533	2116355940
PRJNA422434	SAMN00715205	SRX095736	SRR341655	325	16505041	2970907380
PRJNA422434	SAMN00715206	SRX095737	SRR341656	335	12592405	2266632900
