study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB32631	SAMEA5616559	ERX3428276	ERR3404624	500	14209739	2818831434
PRJEB32631	SAMEA5616560	ERX3428277	ERR3404625	500	12021286	2377491157
PRJEB32631	SAMEA5616561	ERX3428278	ERR3404626	500	12479628	2467883928
PRJEB32631	SAMEA5616562	ERX3428279	ERR3404627	500	9641880	1909446871
PRJEB32631	SAMEA5616563	ERX3428280	ERR3404628	500	8890867	1757905218
PRJEB32631	SAMEA5616569	ERX3428281	ERR3404629	500	6753556	1337173270
PRJEB32631	SAMEA5616570	ERX3428282	ERR3404630	500	11596621	2299050234
PRJEB32631	SAMEA5616571	ERX3428283	ERR3404631	500	14157538	2801685657
PRJEB32631	SAMEA5616572	ERX3428284	ERR3404632	500	15039468	2977043303
PRJEB32631	SAMEA5616619	ERX3428285	ERR3404633	500	14254668	2836751910
PRJEB32631	SAMEA5616620	ERX3428286	ERR3404634	500	8651372	1713095144
PRJEB32631	SAMEA5616621	ERX3428287	ERR3404635	500	14287101	2831685080
PRJEB32631	SAMEA5616605	ERX3428288	ERR3404636	500	8026316	1589483837
PRJEB32631	SAMEA5616606	ERX3428289	ERR3404637	500	2603298	514963909
PRJEB32631	SAMEA5616554	ERX3428290	ERR3404638	500	14539376	2881562241
PRJEB32631	SAMEA5616555	ERX3428291	ERR3404639	500	12385483	2457237828
PRJEB32631	SAMEA5616556	ERX3428292	ERR3404640	500	14393187	2856812264
PRJEB32631	SAMEA5616557	ERX3428293	ERR3404641	500	8075199	1602782154
PRJEB32631	SAMEA5616558	ERX3428294	ERR3404642	500	9479434	1881346680
PRJEB32631	SAMEA5616595	ERX3428295	ERR3404643	500	13191999	2604359313
PRJEB32631	SAMEA5616596	ERX3428296	ERR3404644	500	14921474	2949862076
PRJEB32631	SAMEA5616597	ERX3428297	ERR3404645	500	15520489	3072489025
PRJEB32631	SAMEA5616598	ERX3428298	ERR3404646	500	15608277	3086925812
PRJEB32631	SAMEA5616565	ERX3428299	ERR3404647	500	14995532	2955721905
PRJEB32631	SAMEA5616566	ERX3428300	ERR3404648	500	16477154	3252151298
PRJEB32631	SAMEA5616567	ERX3428301	ERR3404649	500	14530454	2874544157
PRJEB32631	SAMEA5616568	ERX3428302	ERR3404650	500	19080374	3779325908
PRJEB32631	SAMEA5616604	ERX3428303	ERR3404651	500	15504321	3068435896
PRJEB32631	SAMEA5616600	ERX3428304	ERR3404652	500	14516346	2873753630
PRJEB32631	SAMEA5616601	ERX3428305	ERR3404653	500	16311406	3235795060
PRJEB32631	SAMEA5616602	ERX3428306	ERR3404654	500	13234043	2610469600
PRJEB32631	SAMEA5616603	ERX3428307	ERR3404655	500	16545523	3266534033
PRJEB32631	SAMEA5616589	ERX3428308	ERR3404656	500	13436745	2668127337
PRJEB32631	SAMEA5616590	ERX3428309	ERR3404657	500	14831960	2939720544
PRJEB32631	SAMEA5616591	ERX3428310	ERR3404658	500	13069294	2580181677
PRJEB32631	SAMEA5616592	ERX3428311	ERR3404659	500	16199790	3202560933
PRJEB32631	SAMEA5616593	ERX3428312	ERR3404660	500	8838888	1745666321
PRJEB32631	SAMEA5616599	ERX3428313	ERR3404661	500	27658132	5479705487
PRJEB32631	SAMEA5616594	ERX3428314	ERR3404662	500	27638722	5470373423
PRJEB32631	SAMEA5616564	ERX3428315	ERR3404663	500	26133081	5178564580
PRJEB32631	SAMEA5616573	ERX3428316	ERR3404664	500	31625491	6264137164
PRJEB32631	SAMEA5616607	ERX3428317	ERR3404665	500	29364036	5817112717
PRJEB32631	SAMEA5616574	ERX3428318	ERR3404666	500	27746270	5500312233
PRJEB32631	SAMEA5616580	ERX3428319	ERR3404667	500	26189201	5179504137
PRJEB32631	SAMEA5616614	ERX3428320	ERR3404668	500	24982258	4949157984
PRJEB32631	SAMEA5616582	ERX3428321	ERR3404669	500	27751434	5493398960
PRJEB32631	SAMEA5616575	ERX3428322	ERR3404670	500	15090247	2973291855
PRJEB32631	SAMEA5616576	ERX3428323	ERR3404671	500	9227857	1817211561
PRJEB32631	SAMEA5616577	ERX3428324	ERR3404672	500	14452316	2849561816
PRJEB32631	SAMEA5616578	ERX3428325	ERR3404673	500	13282198	2616082445
PRJEB32631	SAMEA5616579	ERX3428326	ERR3404674	500	10679448	2105512571
PRJEB32631	SAMEA5616581	ERX3428327	ERR3404675	500	12982126	2561582274
PRJEB32631	SAMEA5616615	ERX3428328	ERR3404676	500	9447820	1853133033
PRJEB32631	SAMEA5616616	ERX3428329	ERR3404677	500	14501402	2834015354
PRJEB32631	SAMEA5616617	ERX3428330	ERR3404678	500	11465554	2243273072
PRJEB32631	SAMEA5616618	ERX3428331	ERR3404679	500	9315229	1821308988
PRJEB32631	SAMEA5616583	ERX3428332	ERR3404680	500	16247828	3224018193
