study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA475246	SAMN09382478	SRX4184611	SRR7280791		17681566	3495077021
PRJNA475246	SAMN09382477	SRX4184610	SRR7280792		18146157	3586109208
PRJNA475246	SAMN09382470	SRX4184609	SRR7280793		16177491	3213885342
PRJNA475246	SAMN09382469	SRX4184608	SRR7280794		20112414	3999590449
PRJNA475246	SAMN09382472	SRX4184607	SRR7280795		17682301	3476933937
PRJNA475246	SAMN09382471	SRX4184606	SRR7280796		13248	2443992
PRJNA475246	SAMN09382474	SRX4184605	SRR7280797		17108120	3362292000
PRJNA475246	SAMN09382473	SRX4184604	SRR7280798		16370563	3231276322
PRJNA475246	SAMN09382476	SRX4184603	SRR7280799		14481117	2855311495
PRJNA475246	SAMN09382475	SRX4184602	SRR7280800		22129382	4367295466
PRJNA475246	SAMN09382505	SRX4184601	SRR7280801		16285397	3214905468
PRJNA475246	SAMN09382453	SRX4184600	SRR7280802		22999287	4546161106
PRJNA475246	SAMN09382498	SRX4184599	SRR7280803		305798	59380464
PRJNA475246	SAMN09382497	SRX4184598	SRR7280804		16579116	3258952684
PRJNA475246	SAMN09382496	SRX4184597	SRR7280805		19564620	3863864590
PRJNA475246	SAMN09382495	SRX4184596	SRR7280806		15402497	3027010299
PRJNA475246	SAMN09382494	SRX4184595	SRR7280807		14333658	2831171653
PRJNA475246	SAMN09382493	SRX4184594	SRR7280808		17980510	3548021308
PRJNA475246	SAMN09382492	SRX4184593	SRR7280809		18504838	3654534797
PRJNA475246	SAMN09382491	SRX4184592	SRR7280810		21095057	4165110403
PRJNA475246	SAMN09382490	SRX4184591	SRR7280811		14485202	2854580458
PRJNA475246	SAMN09382489	SRX4184590	SRR7280812		17204268	3395495718
PRJNA475246	SAMN09382632	SRX4184589	SRR7280813		14525638	2894915595
PRJNA475246	SAMN09382631	SRX4184588	SRR7280814		492152	97684849
PRJNA475246	SAMN09382630	SRX4184587	SRR7280815		21868288	4339689207
PRJNA475246	SAMN09382629	SRX4184586	SRR7280816		21956580	4351234927
PRJNA475246	SAMN09382636	SRX4184585	SRR7280817		12153335	2413115443
PRJNA475246	SAMN09382635	SRX4184584	SRR7280818		22476400	4452940880
PRJNA475246	SAMN09382634	SRX4184583	SRR7280819		13569153	2694061881
PRJNA475246	SAMN09382633	SRX4184582	SRR7280820		20275034	4031992223
PRJNA475246	SAMN09382666	SRX4184581	SRR7280821		18101993	3608489335
